gutenberg_id,text
1228,ON THE ORIGIN OF SPECIES.
1228,
1228,OR THE PRESERVATION OF FAVOURED RACES IN THE STRUGGLE FOR LIFE.
1228,
1228,
1228,"By Charles Darwin, M.A.,"
1228,
1228,"Fellow Of The Royal, Geological, Linnaean, Etc., Societies;"
1228,
1228,Author Of 'Journal Of Researches During H.M.S. Beagle's Voyage Round The
1228,World.'
1228,
1228,
1228,LONDON:
1228,
1228,"JOHN MURRAY, ALBEMARLE STREET."
1228,
1228,.
1228,
1228,
1228,"Down, Bromley, Kent,"
1228,
1228,"October st, ."
1228,
1228,
1228,
1228,"""But with regard to the material world, we can at least go so far as"
1228,this--we can perceive that events are brought about not by insulated
1228,"interpositions of Divine power, exerted in each particular case, but by"
1228,"the establishment of general laws."""
1228,
1228,W. Whewell: Bridgewater Treatise.
1228,
1228,
1228,
1228,"""To conclude, therefore, let no man out of a weak conceit of sobriety,"
1228,"or an ill-applied moderation, think or maintain, that a man can search"
1228,"too far or be too well studied in the book of God's word, or in the book"
1228,of God's works; divinity or philosophy; but rather let men endeavour an
1228,"endless progress or proficience in both."""
1228,
1228,Bacon: Advancement of Learning.
1228,
1228,
1228,CONTENTS.
1228,
1228,
1228,
1228,  INTRODUCTION.
1228,
1228,
1228,  CHAPTER . VARIATION UNDER DOMESTICATION.
1228,
1228,  Causes of Variability.
1228,  Effects of Habit.
1228,  Correlation of Growth.
1228,  Inheritance.
1228,  Character of Domestic Varieties.
1228,  Difficulty of distinguishing between Varieties and Species.
1228,  Origin of Domestic Varieties from one or more Species.
1228,"  Domestic Pigeons, their Differences and Origin."
1228,"  Principle of Selection anciently followed, its Effects."
1228,  Methodical and Unconscious Selection.
1228,  Unknown Origin of our Domestic Productions.
1228,  Circumstances favourable to Man's power of Selection.
1228,
1228,
1228,  CHAPTER . VARIATION UNDER NATURE.
1228,
1228,  Variability.
1228,  Individual Differences.
1228,  Doubtful species.
1228,"  Wide ranging, much diffused, and common species vary most."
1228,  Species of the larger genera in any country vary more than the species
1228,  of the smaller genera.
1228,  Many of the species of the larger genera resemble varieties in being
1228,"  very closely, but unequally, related to each other, and in having"
1228,  restricted ranges.
1228,
1228,
1228,  CHAPTER . STRUGGLE FOR EXISTENCE.
1228,
1228,  Bears on natural selection.
1228,  The term used in a wide sense.
1228,  Geometrical powers of increase.
1228,  Rapid increase of naturalised animals and plants.
1228,  Nature of the checks to increase.
1228,  Competition universal.
1228,  Effects of climate.
1228,  Protection from the number of individuals.
1228,  Complex relations of all animals and plants throughout nature.
1228,  Struggle for life most severe between individuals and varieties of the
1228,  same species; often severe between species of the same genus.
1228,  The relation of organism to organism the most important of all
1228,  relations.
1228,
1228,
1228,  CHAPTER . NATURAL SELECTION.
1228,
1228,"  Natural Selection: its power compared with man's selection, its power"
1228,"  on characters of trifling importance, its power at all ages and on"
1228,  both sexes.
1228,  Sexual Selection.
1228,  On the generality of intercrosses between individuals of the same
1228,  species.
1228,"  Circumstances favourable and unfavourable to Natural Selection,"
1228,"  namely, intercrossing, isolation, number of individuals."
1228,  Slow action.
1228,  Extinction caused by Natural Selection.
1228,"  Divergence of Character, related to the diversity of inhabitants of"
1228,"  any small area, and to naturalisation."
1228,"  Action of Natural Selection, through Divergence of Character and"
1228,"  Extinction, on the descendants from a common parent."
1228,  Explains the Grouping of all organic beings.
1228,
1228,
1228,  CHAPTER . LAWS OF VARIATION.
1228,
1228,  Effects of external conditions.
1228,"  Use and disuse, combined with natural selection; organs of flight and"
1228,  of vision.
1228,  Acclimatisation.
1228,  Correlation of growth.
1228,  Compensation and economy of growth.
1228,  False correlations.
1228,"  Multiple, rudimentary, and lowly organised structures variable."
1228,  Parts developed in an unusual manner are highly variable: specific
1228,  characters more variable than generic: secondary sexual characters
1228,  variable.
1228,  Species of the same genus vary in an analogous manner.
1228,  Reversions to long-lost characters.
1228,  Summary.
1228,
1228,
1228,  CHAPTER . DIFFICULTIES ON THEORY.
1228,
1228,  Difficulties on the theory of descent with modification.
1228,  Transitions.
1228,  Absence or rarity of transitional varieties.
1228,  Transitions in habits of life.
1228,  Diversified habits in the same species.
1228,  Species with habits widely different from those of their allies.
1228,  Organs of extreme perfection.
1228,  Means of transition.
1228,  Cases of difficulty.
1228,  Natura non facit saltum.
1228,  Organs of small importance.
1228,  Organs not in all cases absolutely perfect.
1228,  The law of Unity of Type and of the Conditions of Existence embraced
1228,  by the theory of Natural Selection.
1228,
1228,
1228,  CHAPTER . INSTINCT.
1228,
1228,"  Instincts comparable with habits, but different in their origin."
1228,  Instincts graduated.
1228,  Aphides and ants.
1228,  Instincts variable.
1228,"  Domestic instincts, their origin."
1228,"  Natural instincts of the cuckoo, ostrich, and parasitic bees."
1228,  Slave-making ants.
1228,"  Hive-bee, its cell-making instinct."
1228,  Difficulties on the theory of the Natural Selection of instincts.
1228,  Neuter or sterile insects.
1228,  Summary.
1228,
1228,
1228,  CHAPTER . HYBRIDISM.
1228,
1228,  Distinction between the sterility of first crosses and of hybrids.
1228,"  Sterility various in degree, not universal, affected by close"
1228,"  interbreeding, removed by domestication."
1228,  Laws governing the sterility of hybrids.
1228,"  Sterility not a special endowment, but incidental on other"
1228,  differences.
1228,  Causes of the sterility of first crosses and of hybrids.
1228,  Parallelism between the effects of changed conditions of life and
1228,  crossing.
1228,  Fertility of varieties when crossed and of their mongrel offspring not
1228,  universal.
1228,  Hybrids and mongrels compared independently of their fertility.
1228,  Summary.
1228,
1228,
1228,  CHAPTER . ON THE IMPERFECTION OF THE GEOLOGICAL RECORD.
1228,
1228,  On the absence of intermediate varieties at the present day.
1228,  On the nature of extinct intermediate varieties; on their number.
1228,"  On the vast lapse of time, as inferred from the rate of deposition and"
1228,  of denudation.
1228,  On the poorness of our palaeontological collections.
1228,  On the intermittence of geological formations.
1228,  On the absence of intermediate varieties in any one formation.
1228,  On the sudden appearance of groups of species.
1228,  On their sudden appearance in the lowest known fossiliferous strata.
1228,
1228,
1228,  CHAPTER . ON THE GEOLOGICAL SUCCESSION OF ORGANIC BEINGS.
1228,
1228,  On the slow and successive appearance of new species.
1228,  On their different rates of change.
1228,  Species once lost do not reappear.
1228,  Groups of species follow the same general rules in their appearance
1228,  and disappearance as do single species.
1228,  On Extinction.
1228,  On simultaneous changes in the forms of life throughout the world.
1228,  On the affinities of extinct species to each other and to living
1228,  species.
1228,  On the state of development of ancient forms.
1228,  On the succession of the same types within the same areas.
1228,  Summary of preceding and present chapters.
1228,
1228,
1228,  CHAPTER . GEOGRAPHICAL DISTRIBUTION.
1228,
1228,  Present distribution cannot be accounted for by differences in
1228,  physical conditions.
1228,  Importance of barriers.
1228,  Affinity of the productions of the same continent.
1228,  Centres of creation.
1228,"  Means of dispersal, by changes of climate and of the level of the"
1228,"  land, and by occasional means."
1228,  Dispersal during the Glacial period co-extensive with the world.
1228,
1228,
1228,  CHAPTER . GEOGRAPHICAL DISTRIBUTION--continued.
1228,
1228,  Distribution of fresh-water productions.
1228,  On the inhabitants of oceanic islands.
1228,  Absence of Batrachians and of terrestrial Mammals.
1228,  On the relation of the inhabitants of islands to those of the nearest
1228,  mainland.
1228,  On colonisation from the nearest source with subsequent modification.
1228,  Summary of the last and present chapters.
1228,
1228,
1228,  CHAPTER . MUTUAL AFFINITIES OF ORGANIC BEINGS: MORPHOLOGY:
1228,  EMBRYOLOGY: RUDIMENTARY
1228,  ORGANS.
1228,
1228,"  CLASSIFICATION, groups subordinate to groups."
1228,  Natural system.
1228,"  Rules and difficulties in classification, explained on the theory of"
1228,  descent with modification.
1228,  Classification of varieties.
1228,  Descent always used in classification.
1228,  Analogical or adaptive characters.
1228,"  Affinities, general, complex and radiating."
1228,  Extinction separates and defines groups.
1228,"  MORPHOLOGY, between members of the same class, between parts of the"
1228,  same individual.
1228,"  EMBRYOLOGY, laws of, explained by variations not supervening at an"
1228,"  early age, and being inherited at a corresponding age."
1228,  RUDIMENTARY ORGANS; their origin explained.
1228,  Summary.
1228,
1228,
1228,  CHAPTER . RECAPITULATION AND CONCLUSION.
1228,
1228,  Recapitulation of the difficulties on the theory of Natural Selection.
1228,  Recapitulation of the general and special circumstances in its favour.
1228,  Causes of the general belief in the immutability of species.
1228,  How far the theory of natural selection may be extended.
1228,  Effects of its adoption on the study of Natural history.
1228,  Concluding remarks.
1228,
1228,
1228,
1228,
1228,ON THE ORIGIN OF SPECIES.
1228,
1228,
1228,
1228,
1228,INTRODUCTION.
1228,
1228,"When on board H.M.S. 'Beagle,' as naturalist, I was much struck with"
1228,"certain facts in the distribution of the inhabitants of South America,"
1228,and in the geological relations of the present to the past inhabitants
1228,of that continent. These facts seemed to me to throw some light on the
1228,"origin of species--that mystery of mysteries, as it has been called by"
1228,"one of our greatest philosophers. On my return home, it occurred to me,"
1228,"in , that something might perhaps be made out on this question by"
1228,patiently accumulating and reflecting on all sorts of facts which could
1228,possibly have any bearing on it. After five years' work I allowed myself
1228,"to speculate on the subject, and drew up some short notes; these I"
1228,"enlarged in  into a sketch of the conclusions, which then seemed to"
1228,me probable: from that period to the present day I have steadily pursued
1228,the same object. I hope that I may be excused for entering on these
1228,"personal details, as I give them to show that I have not been hasty in"
1228,coming to a decision.
1228,
1228,My work is now nearly finished; but as it will take me two or three more
1228,"years to complete it, and as my health is far from strong, I have been"
1228,urged to publish this Abstract. I have more especially been induced to
1228,"do this, as Mr. Wallace, who is now studying the natural history of"
1228,"the Malay archipelago, has arrived at almost exactly the same general"
1228,conclusions that I have on the origin of species. Last year he sent to
1228,"me a memoir on this subject, with a request that I would forward it"
1228,"to Sir Charles Lyell, who sent it to the Linnean Society, and it is"
1228,published in the third volume of the Journal of that Society. Sir C.
1228,"Lyell and Dr. Hooker, who both knew of my work--the latter having read"
1228,"my sketch of --honoured me by thinking it advisable to publish, with"
1228,"Mr. Wallace's excellent memoir, some brief extracts from my manuscripts."
1228,
1228,"This Abstract, which I now publish, must necessarily be imperfect. I"
1228,cannot here give references and authorities for my several statements;
1228,and I must trust to the reader reposing some confidence in my accuracy.
1228,"No doubt errors will have crept in, though I hope I have always been"
1228,cautious in trusting to good authorities alone. I can here give only
1228,"the general conclusions at which I have arrived, with a few facts in"
1228,"illustration, but which, I hope, in most cases will suffice. No one can"
1228,feel more sensible than I do of the necessity of hereafter publishing in
1228,"detail all the facts, with references, on which my conclusions have been"
1228,grounded; and I hope in a future work to do this. For I am well aware
1228,that scarcely a single point is discussed in this volume on which facts
1228,"cannot be adduced, often apparently leading to conclusions directly"
1228,opposite to those at which I have arrived. A fair result can be obtained
1228,only by fully stating and balancing the facts and arguments on both
1228,sides of each question; and this cannot possibly be here done.
1228,
1228,I much regret that want of space prevents my having the satisfaction of
1228,acknowledging the generous assistance which I have received from very
1228,"many naturalists, some of them personally unknown to me. I cannot,"
1228,"however, let this opportunity pass without expressing my deep"
1228,"obligations to Dr. Hooker, who for the last fifteen years has aided me"
1228,in every possible way by his large stores of knowledge and his excellent
1228,judgment.
1228,
1228,"In considering the Origin of Species, it is quite conceivable that a"
1228,"naturalist, reflecting on the mutual affinities of organic beings,"
1228,"on their embryological relations, their geographical distribution,"
1228,"geological succession, and other such facts, might come to the"
1228,"conclusion that each species had not been independently created, but"
1228,"had descended, like varieties, from other species. Nevertheless, such"
1228,"a conclusion, even if well founded, would be unsatisfactory, until it"
1228,could be shown how the innumerable species inhabiting this world
1228,"have been modified, so as to acquire that perfection of structure and"
1228,coadaptation which most justly excites our admiration. Naturalists
1228,"continually refer to external conditions, such as climate, food, etc.,"
1228,"as the only possible cause of variation. In one very limited sense,"
1228,"as we shall hereafter see, this may be true; but it is preposterous to"
1228,"attribute to mere external conditions, the structure, for instance,"
1228,"of the woodpecker, with its feet, tail, beak, and tongue, so admirably"
1228,adapted to catch insects under the bark of trees. In the case of the
1228,"misseltoe, which draws its nourishment from certain trees, which has"
1228,"seeds that must be transported by certain birds, and which has flowers"
1228,with separate sexes absolutely requiring the agency of certain insects
1228,"to bring pollen from one flower to the other, it is equally preposterous"
1228,"to account for the structure of this parasite, with its relations to"
1228,"several distinct organic beings, by the effects of external conditions,"
1228,"or of habit, or of the volition of the plant itself."
1228,
1228,"The author of the 'Vestiges of Creation' would, I presume, say that,"
1228,"after a certain unknown number of generations, some bird had given birth"
1228,"to a woodpecker, and some plant to the misseltoe, and that these had"
1228,been produced perfect as we now see them; but this assumption seems to
1228,"me to be no explanation, for it leaves the case of the coadaptations of"
1228,"organic beings to each other and to their physical conditions of life,"
1228,untouched and unexplained.
1228,
1228,"It is, therefore, of the highest importance to gain a clear insight into"
1228,the means of modification and coadaptation. At the commencement of
1228,my observations it seemed to me probable that a careful study of
1228,domesticated animals and of cultivated plants would offer the best
1228,chance of making out this obscure problem. Nor have I been disappointed;
1228,in this and in all other perplexing cases I have invariably found that
1228,"our knowledge, imperfect though it be, of variation under domestication,"
1228,afforded the best and safest clue. I may venture to express my
1228,"conviction of the high value of such studies, although they have been"
1228,very commonly neglected by naturalists.
1228,
1228,"From these considerations, I shall devote the first chapter of this"
1228,Abstract to Variation under Domestication. We shall thus see that a
1228,"large amount of hereditary modification is at least possible, and, what"
1228,"is equally or more important, we shall see how great is the power of man"
1228,in accumulating by his Selection successive slight variations. I will
1228,then pass on to the variability of species in a state of nature; but
1228,"I shall, unfortunately, be compelled to treat this subject far too"
1228,"briefly, as it can be treated properly only by giving long catalogues of"
1228,"facts. We shall, however, be enabled to discuss what circumstances"
1228,are most favourable to variation. In the next chapter the Struggle
1228,"for Existence amongst all organic beings throughout the world, which"
1228,"inevitably follows from their high geometrical powers of increase, will"
1228,"be treated of. This is the doctrine of Malthus, applied to the whole"
1228,animal and vegetable kingdoms. As many more individuals of each species
1228,"are born than can possibly survive; and as, consequently, there is a"
1228,"frequently recurring struggle for existence, it follows that any being,"
1228,"if it vary however slightly in any manner profitable to itself, under"
1228,"the complex and sometimes varying conditions of life, will have a better"
1228,"chance of surviving, and thus be NATURALLY SELECTED. From the strong"
1228,"principle of inheritance, any selected variety will tend to propagate"
1228,its new and modified form.
1228,
1228,This fundamental subject of Natural Selection will be treated at
1228,some length in the fourth chapter; and we shall then see how Natural
1228,Selection almost inevitably causes much Extinction of the less improved
1228,forms of life and induces what I have called Divergence of Character.
1228,In the next chapter I shall discuss the complex and little known laws of
1228,"variation and of correlation of growth. In the four succeeding chapters,"
1228,the most apparent and gravest difficulties on the theory will be given:
1228,"namely, first, the difficulties of transitions, or in understanding how"
1228,a simple being or a simple organ can be changed and perfected into a
1228,highly developed being or elaborately constructed organ; secondly
1228,"the subject of Instinct, or the mental powers of animals, thirdly,"
1228,"Hybridism, or the infertility of species and the fertility of varieties"
1228,"when intercrossed; and fourthly, the imperfection of the Geological"
1228,Record. In the next chapter I shall consider the geological succession
1228,"of organic beings throughout time; in the eleventh and twelfth, their"
1228,"geographical distribution throughout space; in the thirteenth, their"
1228,"classification or mutual affinities, both when mature and in an"
1228,embryonic condition. In the last chapter I shall give a brief
1228,"recapitulation of the whole work, and a few concluding remarks."
1228,
1228,No one ought to feel surprise at much remaining as yet unexplained in
1228,"regard to the origin of species and varieties, if he makes due allowance"
1228,for our profound ignorance in regard to the mutual relations of all
1228,the beings which live around us. Who can explain why one species ranges
1228,"widely and is very numerous, and why another allied species has a narrow"
1228,"range and is rare? Yet these relations are of the highest importance,"
1228,"for they determine the present welfare, and, as I believe, the future"
1228,success and modification of every inhabitant of this world. Still less
1228,do we know of the mutual relations of the innumerable inhabitants of the
1228,world during the many past geological epochs in its history. Although
1228,"much remains obscure, and will long remain obscure, I can entertain no"
1228,"doubt, after the most deliberate study and dispassionate judgment of"
1228,"which I am capable, that the view which most naturalists entertain,"
1228,"and which I formerly entertained--namely, that each species has been"
1228,independently created--is erroneous. I am fully convinced that species
1228,are not immutable; but that those belonging to what are called the
1228,same genera are lineal descendants of some other and generally extinct
1228,"species, in the same manner as the acknowledged varieties of any one"
1228,"species are the descendants of that species. Furthermore, I am convinced"
1228,that Natural Selection has been the main but not exclusive means of
1228,modification.
1228,
1228,
1228,
1228,
1228,. VARIATION UNDER DOMESTICATION.
1228,
1228,Causes of Variability. Effects of Habit. Correlation of Growth.
1228,Inheritance. Character of Domestic Varieties. Difficulty of
1228,distinguishing between Varieties and Species. Origin of Domestic
1228,"Varieties from one or more Species. Domestic Pigeons, their Differences"
1228,"and Origin. Principle of Selection anciently followed, its Effects."
1228,Methodical and Unconscious Selection. Unknown Origin of our Domestic
1228,Productions. Circumstances favourable to Man's power of Selection.
1228,
1228,When we look to the individuals of the same variety or sub-variety of
1228,"our older cultivated plants and animals, one of the first points which"
1228,"strikes us, is, that they generally differ much more from each other,"
