gutenberg_id,text
2009,THE ORIGIN OF SPECIES BY MEANS OF NATURAL SELECTION;
2009,
2009,"or, the PRESERVATION OF FAVOURED RACES IN THE STRUGGLE FOR LIFE."
2009,
2009,"By Charles Darwin, M.A., F.R.S.,"
2009,
2009,"Author of ""The Descent of Man,"" etc., etc."
2009,
2009,
2009,"Sixth London Edition, with all Additions and Corrections."
2009,
2009,The th Edition is often considered the definitive edition.
2009,
2009,Also see Project Gutenberg Etext # for the First Edition.
2009,
2009,
2009,
2009,"""But with regard to the material world, we can at least go so far as"
2009,this--we can perceive that events are brought about not by insulated
2009,"interpositions of Divine power, exerted in each particular case, but by"
2009,"the establishment of general laws.""--Whewell: ""Bridgewater Treatise""."
2009,
2009,"""The only distinct meaning of the word 'natural' is STATED, FIXED or"
2009,SETTLED; since what is natural as much requires and presupposes an
2009,"intelligent agent to render it so, i.e., to effect it continually or at"
2009,"stated times, as what is supernatural or miraculous does to effect it"
2009,"for once.""--Butler: ""Analogy of Revealed Religion""."
2009,
2009,"""To conclude, therefore, let no man out of a weak conceit of sobriety,"
2009,"or an ill-applied moderation, think or maintain, that a man can search"
2009,"too far or be too well studied in the book of God's word, or in the book"
2009,of God's works; divinity or philosophy; but rather let men endeavour
2009,"an endless progress or proficience in both.""--Bacon: ""Advancement of"
2009,"Learning""."
2009,
2009,
2009,
2009,
2009,AN HISTORICAL SKETCH OF THE PROGRESS OF OPINION ON THE ORIGIN OF
2009,"SPECIES,"
2009,
2009,PREVIOUSLY TO THE PUBLICATION OF THE FIRST EDITION OF THIS WORK.
2009,
2009,I will here give a brief sketch of the progress of opinion on the Origin
2009,of Species. Until recently the great majority of naturalists believed
2009,"that species were immutable productions, and had been separately"
2009,created. This view has been ably maintained by many authors. Some few
2009,"naturalists, on the other hand, have believed that species undergo"
2009,"modification, and that the existing forms of life are the descendants"
2009,by true generation of pre existing forms. Passing over allusions to
2009,"the subject in the classical writers (Aristotle, in his ""Physicae"
2009,"Auscultationes"" (lib., cap., s.), after remarking that rain does not"
2009,"fall in order to make the corn grow, any more than it falls to spoil the"
2009,"farmer's corn when threshed out of doors, applies the same argument"
2009,"to organisation; and adds (as translated by Mr. Clair Grece, who first"
2009,"pointed out the passage to me), ""So what hinders the different parts (of"
2009,the body) from having this merely accidental relation in nature? as the
2009,"teeth, for example, grow by necessity, the front ones sharp, adapted"
2009,"for dividing, and the grinders flat, and serviceable for masticating"
2009,"the food; since they were not made for the sake of this, but it was the"
2009,result of accident. And in like manner as to other parts in which there
2009,"appears to exist an adaptation to an end. Wheresoever, therefore, all"
2009,things together (that is all the parts of one whole) happened like as if
2009,"they were made for the sake of something, these were preserved,"
2009,having been appropriately constituted by an internal spontaneity; and
2009,"whatsoever things were not thus constituted, perished and still perish."""
2009,"We here see the principle of natural selection shadowed forth, but"
2009,"how little Aristotle fully comprehended the principle, is shown by his"
2009,"remarks on the formation of the teeth.), the first author who in modern"
2009,times has treated it in a scientific spirit was Buffon. But as his
2009,"opinions fluctuated greatly at different periods, and as he does not"
2009,"enter on the causes or means of the transformation of species, I need"
2009,not here enter on details.
2009,
2009,Lamarck was the first man whose conclusions on the subject excited much
2009,attention. This justly celebrated naturalist first published his views
2009,"in ; he much enlarged them in  in his ""Philosophie Zoologique"","
2009,"and subsequently, , in the Introduction to his ""Hist. Nat. des"
2009,"Animaux sans Vertebres"". In these works he up holds the doctrine that"
2009,"all species, including man, are descended from other species. He first"
2009,did the eminent service of arousing attention to the probability of
2009,"all change in the organic, as well as in the inorganic world, being the"
2009,"result of law, and not of miraculous interposition. Lamarck seems"
2009,to have been chiefly led to his conclusion on the gradual change of
2009,"species, by the difficulty of distinguishing species and varieties,"
2009,"by the almost perfect gradation of forms in certain groups, and by"
2009,the analogy of domestic productions. With respect to the means of
2009,"modification, he attributed something to the direct action of the"
2009,"physical conditions of life, something to the crossing of already"
2009,"existing forms, and much to use and disuse, that is, to the effects of"
2009,habit. To this latter agency he seems to attribute all the beautiful
2009,adaptations in nature; such as the long neck of the giraffe for
2009,browsing on the branches of trees. But he likewise believed in a law
2009,"of progressive development, and as all the forms of life thus tend to"
2009,"progress, in order to account for the existence at the present day of"
2009,"simple productions, he maintains that such forms are now spontaneously"
2009,generated. (I have taken the date of the first publication of Lamarck
2009,"from Isidore Geoffroy Saint-Hilaire's (""Hist. Nat. Generale"", tom. ii."
2009,"page , ) excellent history of opinion on this subject. In"
2009,this work a full account is given of Buffon's conclusions on the same
2009,"subject. It is curious how largely my grandfather, Dr. Erasmus Darwin,"
2009,anticipated the views and erroneous grounds of opinion of Lamarck in
2009,"his ""Zoonomia"" (vol. i. pages -), published in . According to"
2009,Isid. Geoffroy there is no doubt that Goethe was an extreme partisan of
2009,"similar views, as shown in the introduction to a work written in "
2009,"and , but not published till long afterward; he has pointedly"
2009,"remarked (""Goethe als Naturforscher"", von Dr. Karl Meding, s. ) that"
